Value,valeur,
value,valeur,
Price,Prix,
price,Prix,
Customer Reviews,Avis des Clients,
View Cart,Voir le panier,
Spend another <b>%s</b> and you will qualify <b>for free delivery</b> on this order,ticle d'une valeur de <b>%s</b> pour bénéficier de la livraison,
Review by %s,Affiner par %s,
Posted on %s,Posted on %s,
Read %d Review(s),Lire les %d avis,
&nbsp;See Answered Questions(%s),Voir plus (%s),
Safe and Secure Payments,paiement sécurisé,
Your shopping bag,Votre panier,
Product name,Nom de l'article,
Preview,Récapitulatif,
Subtotal,Total des articles,
Continue Shopping,Continuer mon Shopping,
Promotion code,Code Promo,
Proceed to Checkout,Payer ma commande,
Grand Total,Total à Payer,
Your Order,Votre commande,
Your question has been successfully submitted.,Votre question a été envoyée avec succès.,
Register and Checkout,Valider mon panier,
Complete checkout with,Complete checkout withasdas,
Save this account for future use,Save this account for future use,
I do not recommend this product,je ne recommande pas ce produit,
I recommend this product,je recommande ce produit,
Your online transaction on Homescapes is secure with the highest levels of transaction security currently available on the Internet. Our website is protected by GoDaddy.,Votre paiement sur Homescapes.fr est 100% sécurisé. Notre site est protégé par GoDaddy. Les informations bancaires que vous nous transmettez en ligne sont cryptées pour que rien ne transite en clair sur le web.,
Select,Sélectionnez une,
have you purchased this item?,Avez-vous acheté ce produit ?,
Would you recommend this item?,Recommandez-vous ce produit à un ami ?,
Based on %s recommendations,Note basée sur %s avis,
Size,taille,
size,taille,
SIZE,taille,
Based on %s ratings,Note basée sur %s avis,
Overall,Note générale,
Out of 5,Sur 5,
Safe and Secure Shopping,Paiement 100% Sécurisé,
Size Guide,Guide des tailles,
Order Swatch,Commande d'échantillon,
Swatch Request,Demande d'échantillon,
My Swatches,MMes échantillons,
Email address,Adresse e-mail,
Address Line 1,Adresse,
Addres Line 2,Complément d'adresse,
County,Région,
Code postal,Code postal,
Telephone Number,Téléphone,
-- Please Select --,-- Sélectionnez--,
Please Select,Sélectionnez,
Swatch Policy:,Politique d'échantillon:,
Send my Swatches,Envoyer,
Swatch requests are free.  Orders are limited to 5 swatches per request.  If you require further details please call us on 0121 368 0051,L’envoi d’échantillons est limité à 5 par demande. Pour plus d'informations&#44; veuillez contacter notre service client au +44121 296 6645 (10h-18h 5J/7),
Please fill out the following information.,Veuillez renseigner les champs suivants,
Contact us,Contacter Homescapes,
Our comprehensive,Votre réponse ne figure pas dans notre session dédiée aux questions les plus fréquentes ?. Prenez contact avec notre service client.,
section might have the answer you are looking for. If not then please complete our short form below and we will get back to you as soon as possible.,,
Mobile,Téléphone,
Subject,Votre Objet,
Your Message,Votre Message,
Submit,Envoyer,
Customer Rating,Customer Rating,
Order Swatches,Demande d'échantillon,
Thank you,Merci de votre achat,
Your order for Free,Votre demande a bien été prise en compte,
Thank you for your….order,Vous recevrez vos échantillons très prochainement sous le numéro de commande,
SIGN IN,Se connecter,
New customer ? Sign up,Nouveau client ? Je crée mon compte,
Mes commandes,Mes commandes,
Create a Homescapes account,Créez votre compte Homescapes,
Be a part of Homescapes beautiful home furnishings,Réaliser et suivre vos commandes,
privacy policy.,politique de confidentialité.,
Your privacy is very important to us&#44;we will keep your details safe and secure. For more information&#44; read our,Gérer vos données personnelles. Pour plus d'information&#44; consultez notre,
Sign up with facebook,M'inscrire avec facebook,
Sign up with google,M'inscrire avec Google,
Sign up with twitter,M'inscrire avec Twitter,
Informations Personnelles,Vos Informations Personnelles,
Prénom,Prénom,
Nom,Nom,
Adresse mail,E-mail*,
Abonnez-vous à la newsletter,Abonnez-vous à la newsletter,
Information De Connexion,Vos identifiants,
Mot de passe,Choisissez un mot de passe,
Confirmer le mot de passe,Confirmez votre mot de passe,
Create my account,Créer un compte,
New Customer? Sign up,Déjà client ? Se connecter,
Already Connected?,Déjà client?,
Sign In,Se connecter,
No answers yet.,Aucune réponse reçue.,
Your answer has been successfully submitted.,Votre réponse a été envoyée avec succès.,
Rating & Reviews,Note & Avis des Clients,
Answer this question,Répondre à cette question,
Add Another Swatch,Plus d’échantillon,
Swatch Adding...,ajout d’échantillon,
You May Also Like,Vous aimeriez aussi,
Thank you for your swatches request from Homescapes. We have received your details and are currently processing your order # %s,Vous recevrez vos échantillons très prochainement sous le numéro de commande # %s,
Order Swatch Success,Vous allez recevoir un mail de confirmation avec les détails de votre commande,
Order Swatches,Demande d'échantillon,
SHOP BY RANGE,Afficher par genre,
CUSTOMER RATING,Note des clients,
My Out of Stock Subscriptions,Mes alertes de rupture de stock ,
My Price Subscriptions,Mes alertes de prix,
Saved Payment Information,se souvenir de mes informations de paiement ,
There are no active subscriptions.,Vous n’avez pas d’abonnements.,
My Stock Subscriptions,Mes alertes de disponibilité,
You currently have no saved payment information&#44; you can save a payment method when making a purchase.,Aucun moyen de paiement enregistré.  Vous pouvez mémoriser vos informations de paiement lors de votre achat.,
Select a row below to filter reviews,Filtrer par note des clients,
Request Stock Alert,M’alerter par email,
Sale ending in,fin dans,
%s was added to your shopping cart.,%s a été ajouté à votre panier.,
* Required Fields,* Champs obligatoires,
Add New Address,Ajouter une nouvelle adresse,
Add New Condition,Créer des CGV,
Add to Cart,Ajouter au panier,
Add to Compare,Ajouter au comparateur,
Add to Wishlist,Ajouter à la liste d'envies,
Additional Product Info,Complément d'information de produit,
Address,Adresse,
Address %s of %s,"Adresse <span class=""shipment-count"">%s</span> sur %s",
After Adding a Product Redirect to Shopping Cart,Rediriger vers le panier après l'ajout d'un produit,
Allow Guest Checkout,Autoriser le passage de commande en tant qu'invité,
Already registered?,Vous avez déjà un compte ?,
An error occurred in the process of payment,Une erreur est survenue dans le process de paiement,
An error occurred while deleting this condition.,Erreur lors de la suppression de cette condition.,
An error occurred while saving this condition.,Erreur lors de la sauvegarde de cette condition.,
Apply Coupon,Utiliser un bon de réduction,
Are you sure you would like to remove this item from the shopping cart?,Êtes-vous sûr(e) de vouloir retirer cet article du panier ?,
Back,Retour,
Back to Billing Information,Retour aux informations de facturation,
Back to Select Addresses,Retour à la sélection d'adresses,
Back to Shipping Information,Retour aux informations de livraison,
Back to Shopping Cart,Retour au panier,
"Based on your selection, you may be interested in the following items:","D'après votre sélection, les articles suivants pourraient vous intéresser :",
Billing Address,Adresse de facturation,
Billing Information,Informations de facturation,
Billing Information - %s,Informations de facturation - %s,
Cancel Coupon,Annuler le bon de réduction,
Cannot add item to the shopping cart.,Impossible d'ajouter l'article au panier.,
Cannot add the item to shopping cart,Impossible d'ajouter l'article au panier.,
Cannot add the item to shopping cart.,Impossible d'ajouter le produit au panier,
Cannot apply the coupon code.,Impossible d'appliquer le coupon de réduction.,
Cannot open the overview page,Impossible d'ouvrir la page de résumé.,
Cannot remove the item.,Impossible d'enlever l'article.,
Cannot update shopping cart.,Impossible de mettre à jour le panier.,
Card Verification Number Visual Reference,Référence visuelle numérique de vérification de carte,
Cart Api,API de panier,
Cart Subtotal:,Sous-total du panier :,
Change,Modifier,
Change Billing Address,Modifier l'adresse de facturation,
Checkbox Text,Texte de la case à cocher,
Checkout,Commander,
Checkout Conditions,Conditions de commande,
Checkout Method,Mode de commande,
Checkout Options,Options de règlement,
Checkout Progress Wrapper,Conteneur de progression de commande,
Checkout Section,Section règlement,
Checkout Terms and Conditions,Conditions générales de ventes,
Checkout as Guest,Régler en tant qu'invité,
Checkout as a Guest or Register,Régler en tant qu'invité ou s'enregistrer,
Checkout with Multiple Addresses,Livrer à plusieurs adresses,
City,Ville,
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Cliquez <a href=""%s"" onclick=""this.target='_blank'"">ici pour imprimer</a> une copie de votre confirmation de commande.",
"Click <a href=""%s"">here</a> to continue shopping.","Cliquez <a href=""%s"">ici</a> pour continuer vos achats.",
Close,Fermer,
Company,Société,
Condition Name,Nom de la condition,
Configurable Product Image,Image de produit configurable,
Confirm Password,Confirmer le mot de passe,
Content,Contenu,
Content Height,Hauteur du contenu,
Content Height (css),Hauteur du contenu (CSS),
Continue,Continuer,
Continue Shopping,Continuer mon Shopping,
Continue to Billing Information,Poursuivre vers les informations de facturation,
Continue to Review Your Order,Poursuivre pour vérifier votre commande,
Continue to Shipping Information,Poursuivre vers les informations de livraison,
Country,Pays,
"Coupon code ""%s"" is not valid.","Le code de réduction ""%s"" n'est pas valide.",
"Coupon code ""%s"" was applied.","Le coupon de réduction ""%s"" a été appliqué.",
Coupon code was canceled.,Le coupon de réduction a été annulé.,
Create Billing Address,Créer une adresse de facturation,
Create Shipping Address,Créer une adresse de livraison,
Create shopping cart,Créer un panier,
Data saving problem,Problème lors de la sauvegarde des données,
Default Billing,Facturation par défaut,
Default Shipping,Livraison par défaut,
Delete Condition,Supprimer la condition,
Details,Détails,
Disabled,Désactivé,
Discount Codes,Codes de remises,
Display Cart Summary,Afficher le résumé du panier,
Display Shopping Cart Sidebar,Afficher la barre latérale du panier,
Display item quantities,Afficher la quantité totale d'articles dans le panier,
Display number of items in cart,Afficher le nombre de produits différents dans le panier,
Easy access to your order history and status,Consultez et suivez vos commandes,
Edit,Éditer,
Edit Address,Éditer l'adresse,
Edit Billing Address,Éditer l'adresse de facturation,
Edit Items,Modifier les articles,
Edit Shipping Address,Éditer l'adresse de livraison,
Edit Terms and Conditions,Éditer les conditions générales de ventes,
Edit Your Cart,Modifiez votre panier,
Email Address,Adresse mail,
Enable Onepage Checkout,Activer le passage de commande en une seule page,
Enable Terms and Conditions,Activer les conditions générales de vente,
Enabled,Activé,
Enter a New Address,Saisir une nouvelle adresse,
Enter your coupon code if you have one.,J'ai un code,
Enter your destination to get a shipping estimate.,Choisissez votre destination pour estimer les frais de port,
Estimate Shipping and Tax,Estimer la livraison et la TVA,
Excl. Tax,HT,
Fast and easy check out,Commander plus vite et plus facilement,
Fax,Fax,
Forgot an Item?,Vous avez oublié un article ?,
Forgot your password?,Mot de passe oublié ?,
Get a Quote,Obtenir une estimation,
Grand Total:,Montant global :,
Grouped Product Image,Image de produit groupé,
HTML,HTML,
ID,ID,
Incl. Tax,TTC,
Invalid method: %s,Méthode invalide : %s,
Item not found or already ordered,Produit non trouvé ou déjà commandé,
Items,Articles,
Items Before,Articles avant,
Load customer quote error,Erreur lors du chargement du panier client,
Loading next step...,Chargement en cours de l'étape suivante...,
Login,Connexion,
Login/Registration Before,Connexion/inscription avant,
Manage Checkout Terms and Conditions,Gérer les conditions générales de ventes,
Maximum Display Recently Added Item(s),Nombre maxi d'articles récemment ajoutés à afficher,
Maximum qty allowed for Shipping to multiple addresses is %s,La quantité maxi autorisée pour la livraison à plusieurs adresses est %s,
Move to Wishlist,Ajouter à la <br/>liste d'envies,
Multishipping Checkout,Commande à livraisons multiples,
Multishipping Checkout Address (Any) Form,Formulaire de commande à livraisons multiples,
Multishipping Checkout Billing Address Creation,Création d'adresse de facturation pour la commande à livraisons multiples,
Multishipping Checkout Billing Address Edit Form,Formulaire de modification d'adresse de facturation pour la commande à livraisons multiples,
Multishipping Checkout Billing Address Selection,Sélection d'adresse de facturation pour la commande à livraisons multiples,
Multishipping Checkout Billing Information Step,Étape d'informations de facturation pour la commande à livraisons multiples,
Multishipping Checkout Customer Address Edit Form,Formulaire de modification d'adresse client pour la commande à livraisons multiples,
Multishipping Checkout Overview,Aperçu de commande à livraisons multiples,
Multishipping Checkout Shipping Address Creation,Création d'adresse de livraison pour la commande à livraisons multiples,
Multishipping Checkout Shipping Address Edit Form,Formulaire de modification d'adresse de livraison pour la commande à livraisons multiples,
Multishipping Checkout Shipping Address Selection,Sélection d'adresse de livraison pour la commande à livraisons multiples,
Multishipping Checkout Shipping Information Step,Étape d'informations de livraison pour la commande à livraisons multiples,
Multishipping Checkout Success,Commande à livraisons multiples réussie,
My Cart,Mon panier,
My Cart (%s item),Mon panier (%s article),
My Cart (%s items),Mon panier (%s articles),
My Cart Link,Lien vers mon panier,
New Address,Nouvelle adresse,
New Condition,Nouvelle condition,
One Page Checkout,Passage de commande en une seule page,
One Page Checkout Failure,Échec du passage de commande en une seule page,
One Page Checkout Overview,Résumé de commande en une seule page,
One Page Checkout Success,Réussite du passage de commande en une seule page,
Order #,Commande n°,
Order # ,Commande n° ,
Order Review,Vérification de commande,
Order Success,Confirmation,
Other Items in Your Order,Autres articles dans votre commande,
Overview Items After,Aperçu des articles après,
Password,Mot de passe,
Payment Failed Email Reciever,Destinataire du mail d'erreur de paiement,
Payment Failed Email Sender,Expéditeur du mail d'erreur de paiement,
Payment Failed Emails,Emails d'erreur de paiement,
Payment Failed Template,Gabarit d'erreur de paiement,
Payment Information,Informations de paiement,
Payment Method,Mode de paiement,
Payment Methods After Checkout Button,Bouton de modes de paiement de fin de commande,
Payment Methods Before Checkout Button,Bouton de modes de paiement de début de commande,
Payment method is not defined,Le mode de paiement n'est pas défini,
"Payment profile # %s: ""%s"".","Profil de paiement n°%s : ""%s"".",
Place Order,Passez la commande,
Please agree to all Terms and Conditions before placing the order.,Veuillez accepter les conditions générales de ventes avant de valider la commande.,
Please agree to all Terms and Conditions before placing the orders.,Veuillez accepter les conditions générales de ventes avant de valider les commandes.,
Please agree to all the terms and conditions before placing the order.,Veuillez accepter les conditions générales de ventes avant de valider la commande.,
Please log in below:,Veuillez vous identifier :,
"Please select region, state or province",Sélectionnez un département / état,
Please select shipping address for applicable items,Choisissez une adresse de livraison pour chaque article,
Please select shipping methods for all addresses,Sélectionnez les modes de livraison pour toutes les adresses,
Price,Prix,
Proceed to Checkout,Commander,
Product,Produit,
Product Name,Nom du produit,
Qty,Qté,
Quantity was recalculated from %d to %d,La quantité a été recalculée de %d à %d,
Quote Lifetime (days),Durée de vie du panier (en jours),
Recently added item(s),Derniers articles ajoutés,
Register,S'enregistrer,
Register and save time!,Gagnez du temps !,
Register to Create an Account,Enregistrez-vous pour créer un compte,
Register with us for future convenience:,Enregistrez-vous et profitez de nombreux avantages :,
Remove Item,Supprimer l'article,
Remove This Item,Supprimer cet élément,
Remove item,Retirer l'article,
Review Order,Vérifier la commande,
Review Order - %s,Vérifier la commande - %s,
Sales,Ventes,
Save Condition,Sauvegarder la condition,
Save in address book,Enregistrer dans le carnet d'adresses,
Select Address,Sélectionner une adresse,
Select Addresses,Choix des adresses,
Select Shipping Method,Sélectionner le mode de livraison,
Select State/Province...,Choisissez une région,
Select a billing address from your address book or enter a new address.,Choisissez une adresse de facturation dans votre carnet d'adresses ou saisissez une nouvelle adresse.,
Select a shipping address from your address book or enter a new address.,"Choisissez une adresse de livraison dans votre carnet d'adresses ou saisissez une <a href=""#"" onclick=""shipping.newAddress(true); return false;"">nouvelle adresse</a>.",
Send Payment Failed Email Copy Method,Envoyer une copie du mail d'erreur de paiement en utilisant la méthode,
Send Payment Failed Email Copy To,Envoyer une copie du mail d'erreur de paiement à,
Send To,Envoyer à,
"Separate by "","".",Séparé par des virgules.,
Ship to Multiple Addresses,Livrer à plusieurs adresses,
Ship to different address,Livrer à une autre adresse,
Ship to this address,Livrer à cette adresse,
Shipping Address,Adresse de livraison,
Shipping Information,Informations de livraison,
Shipping Method,Mode de livraison,
Shipping Methods,Modes de livraison,
Shipping To,Livraison à,
Shipping method has not been selected yet,Le mode de livraison n'a pas encore été choisi,
Shipping selection is not applicable.,Le choix de livraison n'est pas applicable.,
Shopping Cart,Panier,
Shopping Cart Form Before,Avant le formulaire du panier,
Shopping Cart Sidebar,Barre latérale du panier,
Shopping Cart Sidebar Extra Actions,Actions supplémentaires de la barre latérale du panier,
Shopping Cart is Empty,Le panier est vide,
Show Content as,Afficher le contenu comme,
Some of the requested products are not available in the desired quantity.,Certains produits ne sont pas disponibles dans les quantités demandées.,
Some of the requested products are unavailable.,Certains produits demandés ne sont plus disponibles.,
Some products quantities were recalculated because of quantity increment mismatch,Les quantités de certains produits ont été recalculées car elles ne respectaient pas le multiple de quantité,
"Sorry, no quotes are available for this order at this time.",Aucun mode de livraison n'est disponible pour votre adresse.,
State/Province,État/Région,
Status,Statut,
Store View,Vue magasin,
Street Address,Adresse,
Street Address %s,Rue - Voie – Bât. %s,
Submitting order information...,Les informations de commande sont en cours d'envoi...,
Subtotal,Sous-total,
Telephone,Téléphone,
Terms and Conditions,Conditions générales de ventes,
Terms and Conditions Information,Informations de conditions générales de ventes,
Terms and conditions,Conditions générales de ventes,
Text,Texte,
Thank you for your purchase!,Merci de votre achat !,
The condition has been deleted,La condition a été supprimée.,
The condition has been saved.,La condition a été sauvegardée.,
The onepage checkout is disabled.,Le passage de commande en une seule page est désactivé.,
The product could not be found.,Le produit n'a pas été trouvé.,
The product does not exist.,Le produit n'existe pas.,
"There are <a href=""%s"">%s items</a> in your cart.","Il y a <a href=""%s"">%s articles</a> dans votre panier.",
"There is <a href=""%s"">1 item</a> in your cart.","Il y a <a href=""%s""><strong>1 article</strong></a> dans votre panier.",
There was an error processing your order. Please contact us or try again later.,"Erreur lors du traitement de votre commande, veuillez réessayer plus tard.",
This condition no longer exists.,Cette condition n'existe plus.,
Total,Total,
Total for this address,Total pour cette adresse,
Unable to set Payment Method.,Impossible de choisir ce mode de paiement.,
Unit Price,Prix unitaire,
Update Qty &amp; Addresses,Mettre à jour les quantités et adresses,
Update Shopping Cart,Mettre à jour le panier,
Update Total,Mettre à jour le total,
Use Billing Address,Utiliser l'adresse de facturation,
We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.,"Votre commande est en cours de traitement et vous recevrez bientôt un mail avec les détails de la commande. Quand la commande sera expédiée, vous recevrez un autre mail avec un lien pour suivre l'avancement de la livraison.",
You have no items in your shopping cart.,Votre panier est vide.,
You will receive an order confirmation email with details of your order and a link to track its progress.,Vous allez recevoir un mail de confirmation avec les détails de votre commande ainsi qu'un lien pour suivre son avancement.,
Your Checkout Progress,Avancement de votre commande,
Your billing agreement # is: %s.,Votre n° d'entente de facturation est : %s.,
Your order # is: %s.,Votre n° de commande est : %s.,
Your order has been received,Votre commande a été reçue,
Your order number is ,Votre numéro de commande est ,
Your recurring payment profiles:,Vos profils de paiement périodiques :,
Zip/Postal Code,Code postal,
osCommerce Orders,Commandes osCommerce,
There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.,Il existe déjà un client pour cet email. Veuillez vous connecter avec cet email ou utiliser un autre email pour vous inscrire.,
%s was updated in your shopping cart.,%s a été mis à jour dans votre panier.,
Add coupon code for shopping cart,Ajouter un code de réduction,
Add product to shopping cart,Ajouter le produit au panier,
Add product(s) to shopping cart,Ajouter le(s) produit(s) au panier,
Cannot configure product.,Impossible de configurer le produit.,
Cannot process the item.,Impossible de traiter l'élément.,
Cannot update the item.,Impossible de mettre à jour l'élément.,
Cart Product Api,API de produit du panier,
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Cliquez <a href=""%s"" onclick=""this.target='_blank'"">ici pour imprimer</a> une copie de votre confirmation de commande.",
Configure Cart Item,Configurer l'article,
Create an order from shopping cart,Créer une commande à partir du panier,
Customer Information,Informations client,
Customer's information,Informations du client,
Display number of items in wishlist,Afficher le nombre de produits dans la liste d'envies,
Edit item,Éditer l'article,
Edit item parameters,Éditer les paramètres de l'article,
Get list of available payment methods,Récupérer la liste des moyens de paiement disponibles,
Get list of available shipping methods,Récupérer la liste des modes de livraison disponibles,
Get list of products in shopping cart,Récupérer la liste des produits dans le panier,
Get terms and conditions,Récupérer les CGV,
Get total prices for shopping cart,Récupérer les totaux pour le panier,
Items After,Articles après,
Payment method information,Informations de mode de paiement,
Payment methods in shopping cart,Modes de paiement dans le panier,
Products,Produits,
Qty:,Qté :,
Quote item does not exist.,L'article n'existe pas.,
Quote item is not found.,L'article n'a pas été trouvé.,
Remove coupon code from shopping cart,Supprimer le code de réduction du panier,
Remove product from shopping cart,Retirer l'article du panier,
Remove product(s) from shopping cart,Retirer l'(les) article(s) du panier,
Retrieve information about shopping cart,Récupérer les informations du panier,
Set customer for shopping cart,Renseigner le client pour le panier,
Set customer's addresses in shopping cart,Renseigner les adresses du client dans le panier,
Set payment method,Choisir le mode de paiement,
Set shipping method,Choisir le mode de livraison,
Shipping information,Informations de livraison,
Shipping methods in shopping cart,Modes de livraison dans le panier,
Shopping cart ability to set coupon code,Capacité du panier à renseigner le code de réduction,
Update Cart,Mettre à jour le panier,
Update product quantities in shopping cart,Mettre à jour les quantités du produit dans le panier,
Update product(s) quantities in shopping cart,Mettre à jour les quantités du (des) produit(s) dans le panier,
Your order number is,Votre numéro de commande est,
"Sign up for the latest offers, new arrivals & competitions","Inscrivez-vous pour recevoir nos dernières offres et promotions",
Basket,Meilleures Ventes,
Best Sellers,Meilleures Ventes,
Top Rated,Les Mieux Notés,
"Be the first to review this product","Évaluer ce produit",
"Move to Wish List","Liste d'envies",
"Select a row below to filter reviews.","Sélectionnez une ligne ci-dessous pour filtrer les avis.",
"Have you purchased this </br> product?","Avez-vous acheté ce </br> produit ?",
"recommend","recommandent",
"Review by (%1)","Avis de (%1)",
"Posted on %1","Posté le %1",
"How do you rate this product?","Comment évaluez-vous ce produit ?",
"Write Your Own Review","Partagez votre avis",
"Yes","Oui",
"No","Non",
"View basket","Voir mon panier",
"Apply Discount Code","Code promo ?",
"Based on %1 ratings","Basé sur %1 notes",
"Based on %1 recommendations","Basé sur %1 recommandations",
"We treat your personal data with care; Please find our <a href='%1'>privacy notice</a> here.","En créant un compte, vous acceptez nos conditions générales d'utilisation et notre <a href='%1'>politique de confidentialité</a>",
"Already have an account?","Vous avez déjà un compte ?",
"Send me the latest offers and news","Recevoir les dernières offres et promotions",
"By creating an account you agree to the website terms and conditions and our <a href='%1'>privacy notice.</a>","En créant un compte, vous acceptez nos conditions générales d'utilisation et notre <a href='%1'>politique de confidentialité</a>",
"Add To Wishlist","Liste d'envies",
"Add to Wish List","Liste d'envies",
"Add to Wishlist","Liste d'envies",
