Swatch Added Successfully,Stoffmuster erfolgreich hinzugefügt,,
Email me when available,Senden Sie mit eine E-Mail sobald wieder verfügbar,,
Notify Me,Absenden,,
Sort By,Sortieren nach,,
Sort By:,Sortieren nach:,,
Best Seller,Bestseller,,
Price - Low to High,Preis aufsteigend,,
Price - High to Low,Preis absteigend,,
Size Guide,Größen Leitfaden,,
View Cart,Warenkorb ansehen,,
Recommended For You,Für Sie empfohlen,,
Unit Price,Einzelpreis,,
Unit price,Einzelpreis,,
Edit,Bearbeiten,,
edit,Bearbeiten,,
Remove,Entfernen,,
remove,Entfernen,,
Spend another <b>%s</b> and you will qualify <b>for free delivery</b> on this order,Für eine kostenfreie Lieferung, kaufen Sie für weitere <b>%s</b> ein.,
you have qualified for free standard UK delivery on this order,Ihre Bestellung ist zur kostenfreien Standard Lieferung innerhalb Deutschlands zugelassen,,
Order Summary,Bestellübersicht,,
Shipping and taxes are estimated and will be updated during checkout based on your billing and shipping information.,Versandkosten und MwSt sind geschätzt und werden vor der Bezahlung basierend auf Liefer- und Rechnungsadresse aktualisiert,,
Total Items,Artikel gesamt,,
Total Items:,Artikel gesamt:,,
My Checkout,Mein Warenkorb,,
Forgotten your password,Passwort vergessen,,
Forgotten your password?,Passwort vergessen?,,
Register & Checkout,Registrieren & Bezahlen,,
Returning Customers,Wiederkehrende Kunden,,
Sign in to speed up your checkout process,Registrieren Sie sich für einen schnelleren Bestellprozess,,
German Shipping,Versand Deutschland,,
Free Shipping,Kostenfreier Versand,,
You will complete your payment via PayPal after the order review step.,Zur Bezahlung werden Sie nach der Bestellübersicht zu PayPal weitergeleitet,,
Your online transaction on Homescapes is secure with the highest levels of transaction security currently available on the Internet. Our website is protected by GoDaddy.,Ihre Online-Transaktion über Homescapes ist dank höchster Internet Sicherheit geschützt. Unsere Website wird durch GoDaddy geschützt.,,
Frequently Asked Questions,Häufig gestellte Fragen,,
No Question post on this topic,Keine Frage zu diesem Thema,,
See more answered questions (%s ),Beantwortete Fragen ansehen (%s),,
See more answered questions,Beantwortete Fragen ansehen,,
Votes,Abstimmungen,,
Add  Comment,Kommentar hinzufügen,,
BY,von,,
Be the first to answer this question,Schreiben Sie die erste Antwort zu dieser Frage,,
Your Name,Ihr Name,,
Your email,Ihre E-Mail Adresse,,
answere here,hier antworten,,
Answer,Antwort,,
Hide answer,Questions&#44;Beantwortete Fragen zuklappen,,
See more answers,Question&#44;Weitere Fragen ansehen,,
Quality,Qualität,,
quality,Qualität,,
Value,Wert,,
value,Wert,,
Price,Preis,,
price,Preis,,
Customer Reviews,Kundenbewertungen,,
Read %d Review(s),Lesen Sie %d Bewertung(en),,
Complete checkout with,Bezahlen mit,,
Promotion code,Aktionscode,,
Note:,Hinweis:,,
Your Order,Deine Bestellung,,
Your Shopping Bag,Ihr Warenkorb,,
Your shopping bag,Ihr Warenkorb,,
Customer Rating,Kundenbewertung,,
I do not recommend this product,ich empfehle diesen Artikel nicht,,
I recommend this product,ich empfehle diesen Artikel,,
Write a Review,Bewertung schreiben,,
write a Review,Bewertung schreiben,,
have you purchased this item?,Haben Sie diesen Artikel gekauft?,,
Based on %s recommendations,Basierend auf %s Bewertungen,,
Would you recommend this item?,Empfehlen Sie diesen Artikel weiter?,,
Based on %s ratings,Basierend auf %s Bewertungen,,
Overall,Gesamt,,
Out of 5,Aus 5,,
Recommended for you,Für Sie empfohlen,,
Product name,Produktname,,
Safe and Secure Shopping,Sicheres Einkaufen,,
E-Mail,E-Mail,,
Mobile,Telefon,,
Your Message,Ihre Nachricht,,
Our comprehensive,Die Antwort auf Ihre Frage finden Sie ggf. auf unserer,,
Help & FAQs ,FAQ Seite,,
section might have the answer you are looking for. If not then please complete our short form below and we will get back to you as soon as possible.,. Falls nicht&#44; kontaktieren Sie uns über unser Kontaktformular und wir bearbeiten Ihr Anliegen schnellstmöglich.,,
Contact us,Kontaktieren Sie uns,,
Order Swatch,Stoffmuster bestellen,,
Swatch Request,Stoffmuster Anfrage,,
My Swatches,Meine Stoffmuster,,
Email address,E-Mail,,
Address Line 1,Adresszeile 1,,
Address Line 2,Adresszeile 2,,
Addres Line 2,Adresszeile 2,,
County,Bundesland,,
Telephone Number,Telefon,,
Send my Swatches,Stoffmuster bestellen,,
Swatch requests are free.  Orders are limited to 5 swatches per request.  If you require further details please call us on 0121 368 0051,Stoffmuster sind für Sie kostenfrei. Sie können bis zu 5 Stoffmuster auf einmal bestellen. Für weitere Informationen kontaktieren Sie uns unter 0800 100 4500.,,
Item: #,Artikel: #,,
Please fill out the following information.,Die mit * gekennzeichneten Angaben sind Pflichtangaben.,,
Add Another Swatch,Stoffmuster hinzufügen,,
Thank you. Your order for free swatches has been placed.,Vielen Dank. Wir haben Ihre Stoffmuster Bestellung erhalten.,,
Order Swatch Success,Bestellung abgeschlossen,,
Thank you for your swatches request from Homescapes. We have received your details and are currently processing your order # %s,Ihre Stoffmuster Bestellung # %s wird schnellstmöglich bearbeitet.,,
Enter your email,E-Mail Adresse eingeben,,
Order free swatch,Stoffprobe bestellen,,
Add Another Swatch,Stoffprobe hinzufügen,,
Swatch Adding...,Stoffprobe wird hinzugefügt...,,
Swatch Policy:,Anmerkung:,,
You May Also Like,Ähnliche Artikel,,
Email me when available,E-Mail senden sobald wieder verfügbar,,
Notify Me,Absenden,,
Be the first to answer this question,Erste Antwort zu dieser Frage schreiben,,
Collapse Answered Questions,Beantwortete Fragen schließen,,
Select a row below to filter reviews.,Zeile zum Filtern auswählen.,,
My Out of Stock Subscriptions,Meine Nicht mehr vorrätig Meldungen ,,
My Price Subscriptions,Meine Preis Meldungen,,
Saved Payment Information,Gespeicherte Zahlungsinformation,,
There are no active subscriptions.,Es gibt keine aktiven Meldungen.,,
My Stock Subscriptions,Meine Lagerbestand Meldungen,,
You currently have no saved payment information&#44; you can save a payment method when making a purchase.,Sie haben keine Zahlungsinformation gespeichert. Sie können eine Zahlart speichern wenn Sie eine Bestellung aufgeben.,,
Create a Homescapes account,Homescapes Kundenkonto,,
Be a part of Homescapes beautiful home furnishings,Jetzt registrieren und bequem und einfach shoppen,,
Your privacy is very important to us&#44;we will keep your details safe and secure. For more information&#44; read our,Wir schützen Ihre Privatsphäre und geben Ihre Daten niemals an Dritte weiter. Für weitere Informationen lesen Sie unsere,,
privacy policy.,Datenschutzerklärung.,,
or,oder,,
Create my account,KONTO ERSTELLEN,,
Already Connected?,Schon registriert?,,
Sign In,Hier,,
Member login,Mitglieder Login,,
A world of beautiful home furnishings awaits,Entdecken Sie die Homescapes Einrichtungswelt,,
homescapesonline.com is secure website and your personal details are protected.,homescapesonline.de ist eine sichere Website. Ihre persönlichen Daten sind geschützt,,
Sign up with google,Mit Google,,
Sign up with twitter,Mit Twitter,,
Sign up with facebook,Mit Facebook,,
Don't have a homescapes account,Neu bei Homescapes?,,
create an account now,Jetzt,,
Write a Review,Bewertung schreiben,,
Your question has been successfully submitted.,Frage erfolgreich versendet.,,
No answers yet.,Noch keine Antworten.,,
Your answer has been successfully submitted.,Antwort erfolgreich versendet.,,
Rating & Reviews,Bewertungen,,
Answer this question,Diese Frage beantworten,,
There was no 404 CMS page configured or found.,Es wurde keine 404 CMS-Seite konfiguriert oder gefunden.,,
Middle Name/Initial,Zweiter Vorname/Initialen,,
The item I want to buy is out of stock,Der Artikel, den ich bestellen möchte, ist nicht verfügbar
Don’t worry,Keine Sorge,,
this is likely to be back in stock very soon.  Simply fill in your contact details on the product page to receive an email when the product becomes available.,der Artikel wird wahrscheinlich bald wieder vorrätig sein. Geben Sie einfach Ihre Kontaktdaten auf der Produktseite an um eine Benachrichtigung zu erhalten, wenn der Artikel wieder verfügbar ist.,
CALL US,RUFEN SIE UNS AN,,
Not Yet Rated,Noch nicht bewertet,,
AVAILABILITY,Verfügbarkeit,,
Marque,Marke,,
FREE UK STANDARD DELIVERY OVER £49.99 ORDER,KOSTENLOSE DE LIEFERUNG ÜBER 80 EUR,,
Up to 60% OFF + EXTRA 5% OFF with code,Bis zu 60% RABATT + 5% EXTRA mit Gutscheincode,,
free,Kostenfreier,,
Click here for more info.,Für weitere Informationen hier klicken.,,
Request Stock Alert,Bestandsnachricht anfordern,,
Sale ending in,endet in,,
Spend another,Für eine kostenfreie Lieferung,,
"Sign up for the latest offers, new arrivals & competitions","Newsletter anmelden & Vorteile sichern",,
View basket,Warenkorb ansehen,,
Basket,Warenkorb,,
"Be the first to review this product","Bewertung schreiben",module,Magento_Review
"My Account","Mein Benutzerkonto",,
"Continue Shopping","Weiter einkaufen",,
Proceed to Checkout,Zur Kasse gehen,,
